title,abstract,label,full_text,processed_text,prediction
"Phylogenetic Exploration of Nosocomial Transmission Chains of 2009 Influenza A/H1N1 among Children Admitted at Red Cross War Memorial Children’s Hospital, Cape Town, South Africa in 2011","Traditional modes of investigating influenza nosocomial transmission have entailed a combination of confirmatory molecular diagnostic testing and epidemiological investigation. Common hospital-acquired infections like influenza require a discerning ability to distinguish between viral isolates to accurately identify patient transmission chains. We assessed whether influenza hemagglutinin sequence phylogenies can be used to enrich epidemiological data when investigating the extent of nosocomial transmission over a four-month period within a paediatric Hospital in Cape Town South Africa. Possible transmission chains/channels were initially determined through basic patient admission data combined with Maximum likelihood and time-scaled Bayesian phylogenetic analyses. These analyses suggested that most instances of potential hospital-acquired infections resulted from multiple introductions of Influenza A into the hospital, which included instances where virus hemagglutinin sequences were identical between different patients. Furthermore, a general inability to establish epidemiological transmission linkage of patients/viral isolates implied that identified isolates could have originated from asymptomatic hospital patients, visitors or hospital staff. In contrast, a traditional epidemiological investigation that used no viral phylogenetic analyses, based on patient co-admission into specific wards during a particular time-frame, suggested that multiple hospital acquired infection instances may have stemmed from a limited number of identifiable index viral isolates/patients. This traditional epidemiological analysis by itself could incorrectly suggest linkage between unrelated cases, underestimate the number of unique infections and may overlook the possible diffuse nature of hospital transmission, which was suggested by sequencing data to be caused by multiple unique introductions of influenza A isolates into individual hospital wards. We have demonstrated a functional role for viral sequence data in nosocomial transmission investigation through its ability to enrich traditional, non-molecular observational epidemiological investigation by teasing out possible transmission pathways and working toward more accurately enumerating the number of possible transmission events.",0,"Phylogenetic Exploration of Nosocomial Transmission Chains of 2009 Influenza A/H1N1 among Children Admitted at Red Cross War Memorial Children’s Hospital, Cape Town, South Africa in 2011 Traditional modes of investigating influenza nosocomial transmission have entailed a combination of confirmatory molecular diagnostic testing and epidemiological investigation. Common hospital-acquired infections like influenza require a discerning ability to distinguish between viral isolates to accurately identify patient transmission chains. We assessed whether influenza hemagglutinin sequence phylogenies can be used to enrich epidemiological data when investigating the extent of nosocomial transmission over a four-month period within a paediatric Hospital in Cape Town South Africa. Possible transmission chains/channels were initially determined through basic patient admission data combined with Maximum likelihood and time-scaled Bayesian phylogenetic analyses. These analyses suggested that most instances of potential hospital-acquired infections resulted from multiple introductions of Influenza A into the hospital, which included instances where virus hemagglutinin sequences were identical between different patients. Furthermore, a general inability to establish epidemiological transmission linkage of patients/viral isolates implied that identified isolates could have originated from asymptomatic hospital patients, visitors or hospital staff. In contrast, a traditional epidemiological investigation that used no viral phylogenetic analyses, based on patient co-admission into specific wards during a particular time-frame, suggested that multiple hospital acquired infection instances may have stemmed from a limited number of identifiable index viral isolates/patients. This traditional epidemiological analysis by itself could incorrectly suggest linkage between unrelated cases, underestimate the number of unique infections and may overlook the possible diffuse nature of hospital transmission, which was suggested by sequencing data to be caused by multiple unique introductions of influenza A isolates into individual hospital wards. We have demonstrated a functional role for viral sequence data in nosocomial transmission investigation through its ability to enrich traditional, non-molecular observational epidemiological investigation by teasing out possible transmission pathways and working toward more accurately enumerating the number of possible transmission events.",phylogenetic exploration of nosocomial transmission chains of 2009 influenza ah1n1 among children admitted at red cross war memorial childrens hospital cape town south africa in 2011 traditional modes of investigating influenza nosocomial transmission have entailed a combination of confirmatory molecular diagnostic testing and epidemiological investigation common hospitalacquired infections like influenza require a discerning ability to distinguish between viral isolates to accurately identify patient transmission chains we assessed whether influenza hemagglutinin sequence phylogenies can be used to enrich epidemiological data when investigating the extent of nosocomial transmission over a fourmonth period within a paediatric hospital in cape town south africa possible transmission chainschannels were initially determined through basic patient admission data combined with maximum likelihood and timescaled bayesian phylogenetic analyses these analyses suggested that most instances of potential hospitalacquired infections resulted from multiple introductions of influenza a into the hospital which included instances where virus hemagglutinin sequences were identical between different patients furthermore a general inability to establish epidemiological transmission linkage of patientsviral isolates implied that identified isolates could have originated from asymptomatic hospital patients visitors or hospital staff in contrast a traditional epidemiological investigation that used no viral phylogenetic analyses based on patient coadmission into specific wards during a particular timeframe suggested that multiple hospital acquired infection instances may have stemmed from a limited number of identifiable index viral isolatespatients this traditional epidemiological analysis by itself could incorrectly suggest linkage between unrelated cases underestimate the number of unique infections and may overlook the possible diffuse nature of hospital transmission which was suggested by sequencing data to be caused by multiple unique introductions of influenza a isolates into individual hospital wards we have demonstrated a functional role for viral sequence data in nosocomial transmission investigation through its ability to enrich traditional nonmolecular observational epidemiological investigation by teasing out possible transmission pathways and working toward more accurately enumerating the number of possible transmission events,1
Targeted inhibition of immunodeficiency virus replication in lymphocytes through retroviral mediated gene transfer,"To test the feasibility of gene therapy for AIDS patients, an animal model is needed to evaluate the efficacy and safety of this approach. Antiviral genes (encoding antisense RNA or viral protein) derived from Simian immunodeficiency virus (SIV) were efficiently targeted into CD4+ lymphocytes through retroviral-mediated gene transfer. After challenging with infectious viruses, the transduced lymphocytes that received antiviral genes were not only protected from SIV infection, but also from infection with HIV, for at least 25 days. Furthermore, little or no cytolytic effect (syncytium formation) was observed in the protected cells. These data demonstrated that SIV or HIV replication could be effectively blocked by antisense sequence(s) or negative dominant factors which were introduced into targeted cells through retroviral-mediated gene transfer.",0,"Targeted inhibition of immunodeficiency virus replication in lymphocytes through retroviral mediated gene transfer To test the feasibility of gene therapy for AIDS patients, an animal model is needed to evaluate the efficacy and safety of this approach. Antiviral genes (encoding antisense RNA or viral protein) derived from Simian immunodeficiency virus (SIV) were efficiently targeted into CD4+ lymphocytes through retroviral-mediated gene transfer. After challenging with infectious viruses, the transduced lymphocytes that received antiviral genes were not only protected from SIV infection, but also from infection with HIV, for at least 25 days. Furthermore, little or no cytolytic effect (syncytium formation) was observed in the protected cells. These data demonstrated that SIV or HIV replication could be effectively blocked by antisense sequence(s) or negative dominant factors which were introduced into targeted cells through retroviral-mediated gene transfer.",targeted inhibition of immunodeficiency virus replication in lymphocytes through retroviral mediated gene transfer to test the feasibility of gene therapy for aids patients an animal model is needed to evaluate the efficacy and safety of this approach antiviral genes encoding antisense rna or viral protein derived from simian immunodeficiency virus siv were efficiently targeted into cd4 lymphocytes through retroviralmediated gene transfer after challenging with infectious viruses the transduced lymphocytes that received antiviral genes were not only protected from siv infection but also from infection with hiv for at least 25 days furthermore little or no cytolytic effect syncytium formation was observed in the protected cells these data demonstrated that siv or hiv replication could be effectively blocked by antisense sequences or negative dominant factors which were introduced into targeted cells through retroviralmediated gene transfer,1
"Pathogen surveillance in the informal settlement, Kibera, Kenya, using a metagenomics approach","BACKGROUND: Worldwide, the number of emerging and re-emerging infectious diseases is increasing, highlighting the importance of global disease pathogen surveillance. Traditional population-based methods may fail to capture important events, particularly in settings with limited access to health care, such as urban informal settlements. In such environments, a mixture of surface water runoff and human feces containing pathogenic microorganisms could be used as a surveillance surrogate. METHOD: We conducted a temporal metagenomic analysis of urban sewage from Kibera, an urban informal settlement in Nairobi, Kenya, to detect and quantify bacterial and associated antimicrobial resistance (AMR) determinants, viral and parasitic pathogens. Data were examined in conjunction with data from ongoing clinical infectious disease surveillance. RESULTS: A large variation of read abundances related to bacteria, viruses, and parasites of medical importance, as well as bacterial associated antimicrobial resistance genes over time were detected. Significant increased abundances were observed for a number of bacterial pathogens coinciding with higher abundances of AMR genes. Vibrio cholerae as well as rotavirus A, among other virus peaked in several weeks during the study period whereas Cryptosporidium spp. and Giardia spp, varied more over time. CONCLUSION: The metagenomic surveillance approach for monitoring circulating pathogens in sewage was able to detect putative pathogen and resistance loads in an urban informal settlement. Thus, valuable if generated in real time to serve as a comprehensive infectious disease agent surveillance system with the potential to guide disease prevention and treatment. The approach may lead to a paradigm shift in conducting real-time global genomics-based surveillance in settings with limited access to health care.",0,"Pathogen surveillance in the informal settlement, Kibera, Kenya, using a metagenomics approach BACKGROUND: Worldwide, the number of emerging and re-emerging infectious diseases is increasing, highlighting the importance of global disease pathogen surveillance. Traditional population-based methods may fail to capture important events, particularly in settings with limited access to health care, such as urban informal settlements. In such environments, a mixture of surface water runoff and human feces containing pathogenic microorganisms could be used as a surveillance surrogate. METHOD: We conducted a temporal metagenomic analysis of urban sewage from Kibera, an urban informal settlement in Nairobi, Kenya, to detect and quantify bacterial and associated antimicrobial resistance (AMR) determinants, viral and parasitic pathogens. Data were examined in conjunction with data from ongoing clinical infectious disease surveillance. RESULTS: A large variation of read abundances related to bacteria, viruses, and parasites of medical importance, as well as bacterial associated antimicrobial resistance genes over time were detected. Significant increased abundances were observed for a number of bacterial pathogens coinciding with higher abundances of AMR genes. Vibrio cholerae as well as rotavirus A, among other virus peaked in several weeks during the study period whereas Cryptosporidium spp. and Giardia spp, varied more over time. CONCLUSION: The metagenomic surveillance approach for monitoring circulating pathogens in sewage was able to detect putative pathogen and resistance loads in an urban informal settlement. Thus, valuable if generated in real time to serve as a comprehensive infectious disease agent surveillance system with the potential to guide disease prevention and treatment. The approach may lead to a paradigm shift in conducting real-time global genomics-based surveillance in settings with limited access to health care.",pathogen surveillance in the informal settlement kibera kenya using a metagenomics approach background worldwide the number of emerging and reemerging infectious diseases is increasing highlighting the importance of global disease pathogen surveillance traditional populationbased methods may fail to capture important events particularly in settings with limited access to health care such as urban informal settlements in such environments a mixture of surface water runoff and human feces containing pathogenic microorganisms could be used as a surveillance surrogate method we conducted a temporal metagenomic analysis of urban sewage from kibera an urban informal settlement in nairobi kenya to detect and quantify bacterial and associated antimicrobial resistance amr determinants viral and parasitic pathogens data were examined in conjunction with data from ongoing clinical infectious disease surveillance results a large variation of read abundances related to bacteria viruses and parasites of medical importance as well as bacterial associated antimicrobial resistance genes over time were detected significant increased abundances were observed for a number of bacterial pathogens coinciding with higher abundances of amr genes vibrio cholerae as well as rotavirus a among other virus peaked in several weeks during the study period whereas cryptosporidium spp and giardia spp varied more over time conclusion the metagenomic surveillance approach for monitoring circulating pathogens in sewage was able to detect putative pathogen and resistance loads in an urban informal settlement thus valuable if generated in real time to serve as a comprehensive infectious disease agent surveillance system with the potential to guide disease prevention and treatment the approach may lead to a paradigm shift in conducting realtime global genomicsbased surveillance in settings with limited access to health care,1
Call on me! Undergraduates’ perceptions of voluntarily asking and answering questions in front of large-enrollment science classes,"Allowing students to voluntarily ask and answer questions in front of the whole class are common teaching practices used in college science courses. However, few studies have examined college science students’ perceptions of these practices, the extent to which students choose to engage in these practices, and what discourages students from participating. In this study, we surveyed 417 undergraduates at a research-intensive institution about their experiences asking and answering questions in large-enrollment college science courses. Specifically, students answered questions about to what extent they perceive voluntarily asking and answering questions in large-enrollment science courses is helpful to them and why. They also answered questions about to what extent they engage in asking and answering questions in large-enrollment college science courses and what factors could discourage them from participating. Using binary logistic regression, we examined whether there were differences among students of different demographic groups regarding their opinions about asking and answering questions. We found that overwhelmingly students reported that other students voluntarily asking and answering instructor questions is helpful to them. Notably, compared to continuing generation students, first-generation students were more likely to perceive other students asking questions to be helpful. Despite perceiving asking and answering questions to be helpful, over half of students reported that they never ask or answer questions in large-enrollment college science courses during a semester, and women were more likely than men to report never asking questions. We identified fear of negative evaluation, or students’ sense of dread associated with being unfavorably evaluated, as a primary factor influencing their decision to answer instructor questions. This work adds to a growing body of literature on student participation in large-enrollment college science courses and begins to uncover underlying factors influencing student participation.",0,"Call on me! Undergraduates’ perceptions of voluntarily asking and answering questions in front of large-enrollment science classes Allowing students to voluntarily ask and answer questions in front of the whole class are common teaching practices used in college science courses. However, few studies have examined college science students’ perceptions of these practices, the extent to which students choose to engage in these practices, and what discourages students from participating. In this study, we surveyed 417 undergraduates at a research-intensive institution about their experiences asking and answering questions in large-enrollment college science courses. Specifically, students answered questions about to what extent they perceive voluntarily asking and answering questions in large-enrollment science courses is helpful to them and why. They also answered questions about to what extent they engage in asking and answering questions in large-enrollment college science courses and what factors could discourage them from participating. Using binary logistic regression, we examined whether there were differences among students of different demographic groups regarding their opinions about asking and answering questions. We found that overwhelmingly students reported that other students voluntarily asking and answering instructor questions is helpful to them. Notably, compared to continuing generation students, first-generation students were more likely to perceive other students asking questions to be helpful. Despite perceiving asking and answering questions to be helpful, over half of students reported that they never ask or answer questions in large-enrollment college science courses during a semester, and women were more likely than men to report never asking questions. We identified fear of negative evaluation, or students’ sense of dread associated with being unfavorably evaluated, as a primary factor influencing their decision to answer instructor questions. This work adds to a growing body of literature on student participation in large-enrollment college science courses and begins to uncover underlying factors influencing student participation.",call on me undergraduates perceptions of voluntarily asking and answering questions in front of largeenrollment science classes allowing students to voluntarily ask and answer questions in front of the whole class are common teaching practices used in college science courses however few studies have examined college science students perceptions of these practices the extent to which students choose to engage in these practices and what discourages students from participating in this study we surveyed 417 undergraduates at a researchintensive institution about their experiences asking and answering questions in largeenrollment college science courses specifically students answered questions about to what extent they perceive voluntarily asking and answering questions in largeenrollment science courses is helpful to them and why they also answered questions about to what extent they engage in asking and answering questions in largeenrollment college science courses and what factors could discourage them from participating using binary logistic regression we examined whether there were differences among students of different demographic groups regarding their opinions about asking and answering questions we found that overwhelmingly students reported that other students voluntarily asking and answering instructor questions is helpful to them notably compared to continuing generation students firstgeneration students were more likely to perceive other students asking questions to be helpful despite perceiving asking and answering questions to be helpful over half of students reported that they never ask or answer questions in largeenrollment college science courses during a semester and women were more likely than men to report never asking questions we identified fear of negative evaluation or students sense of dread associated with being unfavorably evaluated as a primary factor influencing their decision to answer instructor questions this work adds to a growing body of literature on student participation in largeenrollment college science courses and begins to uncover underlying factors influencing student participation,1
Exposing distinct subcortical components of the auditory brainstem response evoked by continuous naturalistic speech,"Speech processing is built upon encoding by the auditory nerve and brainstem, yet we know very little about how these processes unfold in specific subcortical structures. These structures are deep and respond quickly, making them difficult to study during ongoing speech. Recent techniques have begun to address this problem, but yield temporally broad responses with consequently ambiguous neural origins. Here, we describe a method that pairs re-synthesized ‘peaky’ speech with deconvolution analysis of electroencephalography recordings. We show that in adults with normal hearing the method quickly yields robust responses whose component waves reflect activity from distinct subcortical structures spanning auditory nerve to rostral brainstem. We further demonstrate the versatility of peaky speech by simultaneously measuring bilateral and ear-specific responses across different frequency bands and discuss the important practical considerations such as talker choice. The peaky speech method holds promise as a tool for investigating speech encoding and processing, and for clinical applications.",0,"Exposing distinct subcortical components of the auditory brainstem response evoked by continuous naturalistic speech Speech processing is built upon encoding by the auditory nerve and brainstem, yet we know very little about how these processes unfold in specific subcortical structures. These structures are deep and respond quickly, making them difficult to study during ongoing speech. Recent techniques have begun to address this problem, but yield temporally broad responses with consequently ambiguous neural origins. Here, we describe a method that pairs re-synthesized ‘peaky’ speech with deconvolution analysis of electroencephalography recordings. We show that in adults with normal hearing the method quickly yields robust responses whose component waves reflect activity from distinct subcortical structures spanning auditory nerve to rostral brainstem. We further demonstrate the versatility of peaky speech by simultaneously measuring bilateral and ear-specific responses across different frequency bands and discuss the important practical considerations such as talker choice. The peaky speech method holds promise as a tool for investigating speech encoding and processing, and for clinical applications.",exposing distinct subcortical components of the auditory brainstem response evoked by continuous naturalistic speech speech processing is built upon encoding by the auditory nerve and brainstem yet we know very little about how these processes unfold in specific subcortical structures these structures are deep and respond quickly making them difficult to study during ongoing speech recent techniques have begun to address this problem but yield temporally broad responses with consequently ambiguous neural origins here we describe a method that pairs resynthesized peaky speech with deconvolution analysis of electroencephalography recordings we show that in adults with normal hearing the method quickly yields robust responses whose component waves reflect activity from distinct subcortical structures spanning auditory nerve to rostral brainstem we further demonstrate the versatility of peaky speech by simultaneously measuring bilateral and earspecific responses across different frequency bands and discuss the important practical considerations such as talker choice the peaky speech method holds promise as a tool for investigating speech encoding and processing and for clinical applications,1
One Health Approach in the South East Asia Region: Opportunities and Challenges,"The outbreaks of SARS, avian influenza, and Nipah virus in Asian countries clearly demonstrated that new highly infectious agents periodically emerge at the human–animal interface. The experiences of regional countries with prevention and control of avian influenza, SARS have reinforced the need for sustained, well-coordinated, multi-sector, multi-disciplinary, community-based actions to address emerging disease threats. ‘One Health’ is a cost-effective, sustainable, and practical approach to find solutions for problems which need holistic, multidisciplinary approaches, particularly in resource-constrained countries. While there is a growing recognition of One Health, it has to be translated from concept into actions through country level activities that are relevant for specific situations.",0,"One Health Approach in the South East Asia Region: Opportunities and Challenges The outbreaks of SARS, avian influenza, and Nipah virus in Asian countries clearly demonstrated that new highly infectious agents periodically emerge at the human–animal interface. The experiences of regional countries with prevention and control of avian influenza, SARS have reinforced the need for sustained, well-coordinated, multi-sector, multi-disciplinary, community-based actions to address emerging disease threats. ‘One Health’ is a cost-effective, sustainable, and practical approach to find solutions for problems which need holistic, multidisciplinary approaches, particularly in resource-constrained countries. While there is a growing recognition of One Health, it has to be translated from concept into actions through country level activities that are relevant for specific situations.",one health approach in the south east asia region opportunities and challenges the outbreaks of sars avian influenza and nipah virus in asian countries clearly demonstrated that new highly infectious agents periodically emerge at the humananimal interface the experiences of regional countries with prevention and control of avian influenza sars have reinforced the need for sustained wellcoordinated multisector multidisciplinary communitybased actions to address emerging disease threats one health is a costeffective sustainable and practical approach to find solutions for problems which need holistic multidisciplinary approaches particularly in resourceconstrained countries while there is a growing recognition of one health it has to be translated from concept into actions through country level activities that are relevant for specific situations,1
Molecular mimicry in T cell-mediated autoimmunity: Viral peptides activate human T cell clones specific for myelin basic protein,"Structural similarity between viral T cell epitopes and self-peptides could lead to the induction of an autoaggressive T cell response. Based on the structural requirements for both MHC class 11 binding and TCR recognition of an immunodominant myelin basic protein (MBP) peptide, criteria for a data base search were developed in which the degeneracy of amino acid side chains required for MHC class 11 binding and the conservation of those required for T cell activation were considered. A panel of 129 peptides that matched the molecular mimicry motif was tested on seven MBP-specific T cell clones from multiple sclerosis patients. Seven viral and one bacterial peptide efficiently activated three of these clones. Only one peptide could have been identified as a molecular mimic by sequence alignment. The observation that a single T cell receptor can recognize quite distinct but structurally related peptides from multiple pathogens has important implications for understanding the pathogenesis of autoimmunity.",0,"Molecular mimicry in T cell-mediated autoimmunity: Viral peptides activate human T cell clones specific for myelin basic protein Structural similarity between viral T cell epitopes and self-peptides could lead to the induction of an autoaggressive T cell response. Based on the structural requirements for both MHC class 11 binding and TCR recognition of an immunodominant myelin basic protein (MBP) peptide, criteria for a data base search were developed in which the degeneracy of amino acid side chains required for MHC class 11 binding and the conservation of those required for T cell activation were considered. A panel of 129 peptides that matched the molecular mimicry motif was tested on seven MBP-specific T cell clones from multiple sclerosis patients. Seven viral and one bacterial peptide efficiently activated three of these clones. Only one peptide could have been identified as a molecular mimic by sequence alignment. The observation that a single T cell receptor can recognize quite distinct but structurally related peptides from multiple pathogens has important implications for understanding the pathogenesis of autoimmunity.",molecular mimicry in t cellmediated autoimmunity viral peptides activate human t cell clones specific for myelin basic protein structural similarity between viral t cell epitopes and selfpeptides could lead to the induction of an autoaggressive t cell response based on the structural requirements for both mhc class 11 binding and tcr recognition of an immunodominant myelin basic protein mbp peptide criteria for a data base search were developed in which the degeneracy of amino acid side chains required for mhc class 11 binding and the conservation of those required for t cell activation were considered a panel of 129 peptides that matched the molecular mimicry motif was tested on seven mbpspecific t cell clones from multiple sclerosis patients seven viral and one bacterial peptide efficiently activated three of these clones only one peptide could have been identified as a molecular mimic by sequence alignment the observation that a single t cell receptor can recognize quite distinct but structurally related peptides from multiple pathogens has important implications for understanding the pathogenesis of autoimmunity,1
Progress and challenges of disaster health management in China: a scoping review,"BACKGROUND: Despite the importance of an effective health system response to various disasters, relevant research is still in its infancy, especially in middle- and low-income countries. OBJECTIVE: This paper provides an overview of the status of disaster health management in China, with its aim to promote the effectiveness of the health response for reducing disaster-related mortality and morbidity. DESIGN: A scoping review method was used to address the recent progress of and challenges to disaster health management in China. Major health electronic databases were searched to identify English and Chinese literature that were relevant to the research aims. RESULTS: The review found that since 2003 considerable progress has been achieved in the health disaster response system in China. However, there remain challenges that hinder effective health disaster responses, including low standards of disaster-resistant infrastructure safety, the lack of specific disaster plans, poor emergency coordination between hospitals, lack of portable diagnostic equipment and underdeveloped triage skills, surge capacity, and psychological interventions. Additional challenges include the fragmentation of the emergency health service system, a lack of specific legislation for emergencies, disparities in the distribution of funding, and inadequate cost-effective considerations for disaster rescue. CONCLUSIONS: One solution identified to address these challenges appears to be through corresponding policy strategies at multiple levels (e.g. community, hospital, and healthcare system level).",0,"Progress and challenges of disaster health management in China: a scoping review BACKGROUND: Despite the importance of an effective health system response to various disasters, relevant research is still in its infancy, especially in middle- and low-income countries. OBJECTIVE: This paper provides an overview of the status of disaster health management in China, with its aim to promote the effectiveness of the health response for reducing disaster-related mortality and morbidity. DESIGN: A scoping review method was used to address the recent progress of and challenges to disaster health management in China. Major health electronic databases were searched to identify English and Chinese literature that were relevant to the research aims. RESULTS: The review found that since 2003 considerable progress has been achieved in the health disaster response system in China. However, there remain challenges that hinder effective health disaster responses, including low standards of disaster-resistant infrastructure safety, the lack of specific disaster plans, poor emergency coordination between hospitals, lack of portable diagnostic equipment and underdeveloped triage skills, surge capacity, and psychological interventions. Additional challenges include the fragmentation of the emergency health service system, a lack of specific legislation for emergencies, disparities in the distribution of funding, and inadequate cost-effective considerations for disaster rescue. CONCLUSIONS: One solution identified to address these challenges appears to be through corresponding policy strategies at multiple levels (e.g. community, hospital, and healthcare system level).",progress and challenges of disaster health management in china a scoping review background despite the importance of an effective health system response to various disasters relevant research is still in its infancy especially in middle and lowincome countries objective this paper provides an overview of the status of disaster health management in china with its aim to promote the effectiveness of the health response for reducing disasterrelated mortality and morbidity design a scoping review method was used to address the recent progress of and challenges to disaster health management in china major health electronic databases were searched to identify english and chinese literature that were relevant to the research aims results the review found that since 2003 considerable progress has been achieved in the health disaster response system in china however there remain challenges that hinder effective health disaster responses including low standards of disasterresistant infrastructure safety the lack of specific disaster plans poor emergency coordination between hospitals lack of portable diagnostic equipment and underdeveloped triage skills surge capacity and psychological interventions additional challenges include the fragmentation of the emergency health service system a lack of specific legislation for emergencies disparities in the distribution of funding and inadequate costeffective considerations for disaster rescue conclusions one solution identified to address these challenges appears to be through corresponding policy strategies at multiple levels eg community hospital and healthcare system level,1
Earlier parasite arrival reduces the repeatability of host adaptive radiation,"Although parasites are known to have various effects on their hosts, we know little about their role in the assembly of diversifying host populations. Using an experimental bacterium (Pseudomonas fluorescens SBW25)-bacteriophage (ϕ2) system, we show that earlier parasite arrival significantly reduced the repeatability of host diversification. Earlier parasite arrival amplified the priority effects associated with the stochastic emergence of novel SBW25 phenotypes, translating into greater historical contingency in SBW25 diversification. Our results highlight the important role of parasite-host interactions in driving host adaptive radiation.",0,"Earlier parasite arrival reduces the repeatability of host adaptive radiation Although parasites are known to have various effects on their hosts, we know little about their role in the assembly of diversifying host populations. Using an experimental bacterium (Pseudomonas fluorescens SBW25)-bacteriophage (ϕ2) system, we show that earlier parasite arrival significantly reduced the repeatability of host diversification. Earlier parasite arrival amplified the priority effects associated with the stochastic emergence of novel SBW25 phenotypes, translating into greater historical contingency in SBW25 diversification. Our results highlight the important role of parasite-host interactions in driving host adaptive radiation.",earlier parasite arrival reduces the repeatability of host adaptive radiation although parasites are known to have various effects on their hosts we know little about their role in the assembly of diversifying host populations using an experimental bacterium pseudomonas fluorescens sbw25bacteriophage ϕ2 system we show that earlier parasite arrival significantly reduced the repeatability of host diversification earlier parasite arrival amplified the priority effects associated with the stochastic emergence of novel sbw25 phenotypes translating into greater historical contingency in sbw25 diversification our results highlight the important role of parasitehost interactions in driving host adaptive radiation,1
Suitability of Text-Based Communications for the Delivery of Psychological Therapeutic Services to Rural and Remote Communities: Scoping Review,"BACKGROUND: People living in rural and remote areas have poorer access to mental health services than those living in cities. They are also less likely to seek help because of self-stigma and entrenched stoic beliefs about help seeking as a sign of weakness. E-mental health services can span great distances to reach those in need and offer a degree of privacy and anonymity exceeding that of traditional face-to-face counseling and open up possibilities for identifying at-risk individuals for targeted intervention. OBJECTIVE: This scoping review maps the research that has explored text-based e-mental health counseling services and studies that have used language use patterns to predict mental health status. In doing so, one of the aims was to determine whether text-based counseling services have the potential to circumvent the barriers faced by clients in rural and remote communities using technology and whether text-based communications, in particular, can be used to identify individuals at risk of psychological distress or self-harm. METHODS: We conducted a comprehensive electronic literature search of PsycINFO, PubMed, ERIC, and Web of Science databases for articles published in English through November 2020. RESULTS: Of the 9134 articles screened, 70 met the eligibility criteria and were included in the review. There is preliminary evidence to suggest that text-based, real-time communication with a qualified therapist is an effective form of e-mental health service delivery, particularly for individuals concerned with stigma and confidentiality. There is also converging evidence that text-based communications that have been analyzed using computational linguistic techniques can be used to accurately predict progress during treatment and identify individuals at risk of serious mental health conditions and suicide. CONCLUSIONS: This review reveals a clear need for intensified research into the extent to which text-based counseling (and predictive models using modern computational linguistics tools) may help deliver mental health treatments to underserved groups such as regional communities, identify at-risk individuals for targeted intervention, and predict progress during treatment. Such approaches have implications for policy development to improve intervention accessibility in at-risk and underserved populations.",0,"Suitability of Text-Based Communications for the Delivery of Psychological Therapeutic Services to Rural and Remote Communities: Scoping Review BACKGROUND: People living in rural and remote areas have poorer access to mental health services than those living in cities. They are also less likely to seek help because of self-stigma and entrenched stoic beliefs about help seeking as a sign of weakness. E-mental health services can span great distances to reach those in need and offer a degree of privacy and anonymity exceeding that of traditional face-to-face counseling and open up possibilities for identifying at-risk individuals for targeted intervention. OBJECTIVE: This scoping review maps the research that has explored text-based e-mental health counseling services and studies that have used language use patterns to predict mental health status. In doing so, one of the aims was to determine whether text-based counseling services have the potential to circumvent the barriers faced by clients in rural and remote communities using technology and whether text-based communications, in particular, can be used to identify individuals at risk of psychological distress or self-harm. METHODS: We conducted a comprehensive electronic literature search of PsycINFO, PubMed, ERIC, and Web of Science databases for articles published in English through November 2020. RESULTS: Of the 9134 articles screened, 70 met the eligibility criteria and were included in the review. There is preliminary evidence to suggest that text-based, real-time communication with a qualified therapist is an effective form of e-mental health service delivery, particularly for individuals concerned with stigma and confidentiality. There is also converging evidence that text-based communications that have been analyzed using computational linguistic techniques can be used to accurately predict progress during treatment and identify individuals at risk of serious mental health conditions and suicide. CONCLUSIONS: This review reveals a clear need for intensified research into the extent to which text-based counseling (and predictive models using modern computational linguistics tools) may help deliver mental health treatments to underserved groups such as regional communities, identify at-risk individuals for targeted intervention, and predict progress during treatment. Such approaches have implications for policy development to improve intervention accessibility in at-risk and underserved populations.",suitability of textbased communications for the delivery of psychological therapeutic services to rural and remote communities scoping review background people living in rural and remote areas have poorer access to mental health services than those living in cities they are also less likely to seek help because of selfstigma and entrenched stoic beliefs about help seeking as a sign of weakness emental health services can span great distances to reach those in need and offer a degree of privacy and anonymity exceeding that of traditional facetoface counseling and open up possibilities for identifying atrisk individuals for targeted intervention objective this scoping review maps the research that has explored textbased emental health counseling services and studies that have used language use patterns to predict mental health status in doing so one of the aims was to determine whether textbased counseling services have the potential to circumvent the barriers faced by clients in rural and remote communities using technology and whether textbased communications in particular can be used to identify individuals at risk of psychological distress or selfharm methods we conducted a comprehensive electronic literature search of psycinfo pubmed eric and web of science databases for articles published in english through november 2020 results of the 9134 articles screened 70 met the eligibility criteria and were included in the review there is preliminary evidence to suggest that textbased realtime communication with a qualified therapist is an effective form of emental health service delivery particularly for individuals concerned with stigma and confidentiality there is also converging evidence that textbased communications that have been analyzed using computational linguistic techniques can be used to accurately predict progress during treatment and identify individuals at risk of serious mental health conditions and suicide conclusions this review reveals a clear need for intensified research into the extent to which textbased counseling and predictive models using modern computational linguistics tools may help deliver mental health treatments to underserved groups such as regional communities identify atrisk individuals for targeted intervention and predict progress during treatment such approaches have implications for policy development to improve intervention accessibility in atrisk and underserved populations,1
