title,abstract,label,full_text,processed_text,prediction
Inhibition of cell adhesion to the virus by synthetic peptides of fiber knob of human adenovirus serotypes 2 and 3 and virus neutralisation by anti-peptide antibodies,"

This study provides insight into the possible role of fiber knob synthetic peptide fragments in inhibiting cell adhesion to human Adenovirus serotypes 2 and 3 (HAdV-2/3). Additionally, it also assesses the antigens’ ability to neutralise specific virus particles. To elucidate this relationship between fiber knob peptides and viral inhibition, biochemical assays were applied to determine vaccine potential by measuring antigen recognition responses against their respective antibody over a range of viral load conditions. The results obtained show that both anti-peptides recognised and bound specifically with HAdV-2/3 resulting in neutralization of those related viruses and foreshadow future work on developing an efficient vaccine for these two important human pathogens. 

Inhibition of Cell Adhesion to the Virus By Synthetic Peptides Of Fiber Knob of Human Adenovirus Serotypes 2 and 3 And Virus Neutralisation By Anti-Peptide Antibodies",1,"Inhibition of cell adhesion to the virus by synthetic peptides of fiber knob of human adenovirus serotypes 2 and 3 and virus neutralisation by anti-peptide antibodies 

This study provides insight into the possible role of fiber knob synthetic peptide fragments in inhibiting cell adhesion to human Adenovirus serotypes 2 and 3 (HAdV-2/3). Additionally, it also assesses the antigens’ ability to neutralise specific virus particles. To elucidate this relationship between fiber knob peptides and viral inhibition, biochemical assays were applied to determine vaccine potential by measuring antigen recognition responses against their respective antibody over a range of viral load conditions. The results obtained show that both anti-peptides recognised and bound specifically with HAdV-2/3 resulting in neutralization of those related viruses and foreshadow future work on developing an efficient vaccine for these two important human pathogens. 

Inhibition of Cell Adhesion to the Virus By Synthetic Peptides Of Fiber Knob of Human Adenovirus Serotypes 2 and 3 And Virus Neutralisation By Anti-Peptide Antibodies",inhibit cell adhes viru synthet peptid fiber knob human adenoviru serotyp 2 3 viru neutralis antibodi studi provid insight possibl role fiber knob synthet peptid fragment inhibit cell adhes human adenoviru serotyp 2 3 addit also assess antigen abil neutralis specif viru particl elucid relationship fiber knob peptid viral inhibit biochem assay appli determin vaccin potenti measur antigen recognit respons respect antibodi rang viral load condit result obtain show recognis bound specif result neutral relat virus foreshadow futur work develop effici vaccin two import human pathogen inhibit cell adhes viru synthet peptid fiber knob human adenoviru serotyp 2 3 viru neutralis antibodi,0
Type I Interferon α/β Receptor-Mediated Signaling Negatively Regulates Antiviral Cytokine Responses in Murine Bone-Marrow-Derived Mast Cells and Protects the Cells from Virus-Induced Cell Death,"

Title: Type I Interferon α/β Receptor-Mediated Signaling Negatively Regulates Antiviral Cytokine Responses in Murine Bone-Marrow-Derived Mast Cells and Protects the Cells from Virus-Induced Cell Death

Cytokines are pivotal for host defense against viral infection. Although mast cells play significant roles during virus infection, their regulation of cytokine responses by type I IFN receptor (IFNAR) signaling has not been extensively studied. In this study, we analyzed the role of IFNAR signaling on antiviral cytokine production and cell death in murine bone marrow derivedmast cells (BMMC). We found that BMMC stimulation with polyI:C, an analog to viral RNA, induced secretion of multiple antiviral cytokines which was reduced upontreatment with neutralizing antibodies specific for mammalian type I interferons or knockdown by siRNA technology. Furthermore, we showed that conditioning with recombinant mouse IFNα inhibited polyI:C induced cell death via upregulation of antiapoptotic genes in BMMC suggesting important protective effects mediated by IFNAR signaling in these cells against incoming viruses. Our results demonstrate a novel regulatory mechanism through which type I IFNR mediates negative control of antiviral cytokines while providing protective effects to BMMC during virus infections achieving coordinated biological outcomes among immune response activities.",1,"Type I Interferon α/β Receptor-Mediated Signaling Negatively Regulates Antiviral Cytokine Responses in Murine Bone-Marrow-Derived Mast Cells and Protects the Cells from Virus-Induced Cell Death 

Title: Type I Interferon α/β Receptor-Mediated Signaling Negatively Regulates Antiviral Cytokine Responses in Murine Bone-Marrow-Derived Mast Cells and Protects the Cells from Virus-Induced Cell Death

Cytokines are pivotal for host defense against viral infection. Although mast cells play significant roles during virus infection, their regulation of cytokine responses by type I IFN receptor (IFNAR) signaling has not been extensively studied. In this study, we analyzed the role of IFNAR signaling on antiviral cytokine production and cell death in murine bone marrow derivedmast cells (BMMC). We found that BMMC stimulation with polyI:C, an analog to viral RNA, induced secretion of multiple antiviral cytokines which was reduced upontreatment with neutralizing antibodies specific for mammalian type I interferons or knockdown by siRNA technology. Furthermore, we showed that conditioning with recombinant mouse IFNα inhibited polyI:C induced cell death via upregulation of antiapoptotic genes in BMMC suggesting important protective effects mediated by IFNAR signaling in these cells against incoming viruses. Our results demonstrate a novel regulatory mechanism through which type I IFNR mediates negative control of antiviral cytokines while providing protective effects to BMMC during virus infections achieving coordinated biological outcomes among immune response activities.",type interferon signal neg regul antivir cytokin respons murin mast cell protect cell cell death titl type interferon signal neg regul antivir cytokin respons murin mast cell protect cell cell death cytokin pivot host defens viral infect although mast cell play signific role viru infect regul cytokin respons type ifn receptor ifnar signal extens studi studi analyz role ifnar signal antivir cytokin product cell death murin bone marrow derivedmast cell bmmc found bmmc stimul polyi c analog viral rna induc secret multipl antivir cytokin reduc upontreat neutral antibodi specif mammalian type interferon knockdown sirna technolog furthermor show condit recombin mous ifnα inhibit polyi c induc cell death via upregul antiapoptot gene bmmc suggest import protect effect mediat ifnar signal cell incom virus result demonstr novel regulatori mechan type ifnr mediat neg control antivir cytokin provid protect effect bmmc viru infect achiev coordin biolog outcom among immun respons activ,0
"Development of eco-friendly, self-cleaning, antibacterial membrane for the elimination of chromium (VI) from tannery wastewater","


This paper reports the development of an eco-friendly, self-cleaning and antibacterial membrane to eliminate chromium (VI) ions from wastewater generated by tanneries. The designed material is composed of a nanocomposite based on polyethylene fibers enhanced with inorganic synthesized composites supplemented with titanium dioxide nanotubes which act as support material. Furthermore, it takes advantage of photocatalysis mechanisms triggered by visible light; hence utilizing solar energy to reduce Chromium concentration in effluent water. Our results indicate that the developed membrane has high potential for efficient elimination down to 0.88 mg g−1 of Cr(VI) from simulated tannery wastewater samples within 100 min without any dangerous effects or environmental disturbances.",1,"Development of eco-friendly, self-cleaning, antibacterial membrane for the elimination of chromium (VI) from tannery wastewater 


This paper reports the development of an eco-friendly, self-cleaning and antibacterial membrane to eliminate chromium (VI) ions from wastewater generated by tanneries. The designed material is composed of a nanocomposite based on polyethylene fibers enhanced with inorganic synthesized composites supplemented with titanium dioxide nanotubes which act as support material. Furthermore, it takes advantage of photocatalysis mechanisms triggered by visible light; hence utilizing solar energy to reduce Chromium concentration in effluent water. Our results indicate that the developed membrane has high potential for efficient elimination down to 0.88 mg g−1 of Cr(VI) from simulated tannery wastewater samples within 100 min without any dangerous effects or environmental disturbances.",develop antibacteri membran elimin chromium vi tanneri wastewat paper report develop antibacteri membran elimin chromium vi ion wastewat gener tanneri design materi compos nanocomposit base polyethylen fiber enhanc inorgan synthes composit supplement titanium dioxid nanotub act support materi furthermor take advantag photocatalysi mechan trigger visibl light henc util solar energi reduc chromium concentr effluent water result indic develop membran high potenti effici elimin mg cr vi simul tanneri wastewat sampl within 100 min without danger effect environment disturb,0
Rationality of 17 cities’ public perception of SARS and predictive model of psychological behavior,"

This study examines the rationality of public perception of SARS in 17 cities and proposes a predictive model for identifying psychological behavior. Using a sample size of 3000 participants, we observe public reaction to three distinct triggers – outbreak, awareness and contagion – while analyzing factors such as information sources, infectiousness risk assessments and knowledge acquisition trend across different demographics. The reasonable responses that emerged from these reactions were identified through situational characterizations based on established theories in preventive health behaviors. This was then used to establish a multi-level regression analysis to predict psychological behavior towards SARS given various scenarios. Through this process, findings indicate that social media appears to be an important source for acquiring information associated with epidemics such as SARS and may influence the way citizens respond according their individual understanding, leading us closer toward informed communicable disease control methods than previously thought possible.",1,"Rationality of 17 cities’ public perception of SARS and predictive model of psychological behavior 

This study examines the rationality of public perception of SARS in 17 cities and proposes a predictive model for identifying psychological behavior. Using a sample size of 3000 participants, we observe public reaction to three distinct triggers – outbreak, awareness and contagion – while analyzing factors such as information sources, infectiousness risk assessments and knowledge acquisition trend across different demographics. The reasonable responses that emerged from these reactions were identified through situational characterizations based on established theories in preventive health behaviors. This was then used to establish a multi-level regression analysis to predict psychological behavior towards SARS given various scenarios. Through this process, findings indicate that social media appears to be an important source for acquiring information associated with epidemics such as SARS and may influence the way citizens respond according their individual understanding, leading us closer toward informed communicable disease control methods than previously thought possible.",ration 17 citi public percept sar predict model psycholog behavior studi examin ration public percept sar 17 citi propos predict model identifi psycholog behavior use sampl size 3000 particip observ public reaction three distinct trigger outbreak awar contagion analyz factor inform sourc infecti risk assess knowledg acquisit trend across differ demograph reason respons emerg reaction identifi situat character base establish theori prevent health behavior use establish regress analysi predict psycholog behavior toward sar given variou scenario process find indic social media appear import sourc acquir inform associ epidem sar may influenc way citizen respond accord individu understand lead us closer toward inform communic diseas control method previous thought possibl,0
AVP‐IC(50)Pred: Multiple machine learning techniques‐based prediction of peptide antiviral activity in terms of half maximal inhibitory concentration (IC(50)),"

This article presents a novel machine learning-based algorithm, AVP-IC(50)Pred, for predicting peptide antiviral activity in terms of half maximal inhibitory concentration (IC(50)). By taking advantage of the new technologies and advances in data acquisition and retention, this algorithm is capable of incorporating multiple artificial intelligence approaches to obtain reliable predictions. The efficacy of AVP-IC(50)Pred has been evaluated using different datasets with application to five virus families classified by their RNA or DNA genome type. Results have shown that by combining three ensemble methods—boosting tree regression, random forest and support vector machines—further accuracy was obtained over single techniques analyzed separately. Finally, it has been demonstrated that the proposed prediction model outperforms current state‐of‐the art when used as an outcome measure for antiviral potential drug design.",1,"AVP‐IC(50)Pred: Multiple machine learning techniques‐based prediction of peptide antiviral activity in terms of half maximal inhibitory concentration (IC(50)) 

This article presents a novel machine learning-based algorithm, AVP-IC(50)Pred, for predicting peptide antiviral activity in terms of half maximal inhibitory concentration (IC(50)). By taking advantage of the new technologies and advances in data acquisition and retention, this algorithm is capable of incorporating multiple artificial intelligence approaches to obtain reliable predictions. The efficacy of AVP-IC(50)Pred has been evaluated using different datasets with application to five virus families classified by their RNA or DNA genome type. Results have shown that by combining three ensemble methods—boosting tree regression, random forest and support vector machines—further accuracy was obtained over single techniques analyzed separately. Finally, it has been demonstrated that the proposed prediction model outperforms current state‐of‐the art when used as an outcome measure for antiviral potential drug design.",50 pred multipl machin learn predict peptid antivir activ term half maxim inhibitori concentr ic 50 articl present novel machin algorithm 50 pred predict peptid antivir activ term half maxim inhibitori concentr ic 50 take advantag new technolog advanc data acquisit retent algorithm capabl incorpor multipl artifici intellig approach obtain reliabl predict efficaci 50 pred evalu use differ dataset applic five viru famili classifi rna dna genom type result shown combin three ensembl tree regress random forest support vector accuraci obtain singl techniqu analyz separ final demonstr propos predict model outperform current art use outcom measur antivir potenti drug design,0
"Genetic variability of human papillomavirus type 39 based on E6, E7 and L1 genes in Southwest China","

Genetic Variability of Human Papillomavirus Type 39 Based on E6, E7 and L1 Genes in Southwest China
Human papillomavirus type 39 (HPV-39) is a genetically heterogeneous virus that harbors multiple variants. Understanding the sequence variability and its potential impact on HPV-39 pathogenesis is crucial to generating better predictive models for global epidemiology of diseases related to this virus. In this study, we characterized the genetic variability of HPV-39 among samples collected from a population living in Southwest China by analyzing three target genes -E6, E7 and L1. Through large scale sequencing we identified 17 unique subtypes belonging to different phylogenetic clusters with distinct geographical distributions that have not been previously reported. Overall our data suggests geographically driven genetic diversity but only weak evidence of antigens’ role on vaccine development or drug response success rates which emphasizes the need for further investigation into these populations in order to reduce HPV-related morbidity globally.",1,"Genetic variability of human papillomavirus type 39 based on E6, E7 and L1 genes in Southwest China 

Genetic Variability of Human Papillomavirus Type 39 Based on E6, E7 and L1 Genes in Southwest China
Human papillomavirus type 39 (HPV-39) is a genetically heterogeneous virus that harbors multiple variants. Understanding the sequence variability and its potential impact on HPV-39 pathogenesis is crucial to generating better predictive models for global epidemiology of diseases related to this virus. In this study, we characterized the genetic variability of HPV-39 among samples collected from a population living in Southwest China by analyzing three target genes -E6, E7 and L1. Through large scale sequencing we identified 17 unique subtypes belonging to different phylogenetic clusters with distinct geographical distributions that have not been previously reported. Overall our data suggests geographically driven genetic diversity but only weak evidence of antigens’ role on vaccine development or drug response success rates which emphasizes the need for further investigation into these populations in order to reduce HPV-related morbidity globally.",genet variabl human papillomaviru type 39 base e6 e7 l1 gene southwest china genet variabl human papillomaviru type 39 base e6 e7 l1 gene southwest china human papillomaviru type 39 genet heterogen viru harbor multipl variant understand sequenc variabl potenti impact pathogenesi crucial gener better predict model global epidemiolog diseas relat viru studi character genet variabl among sampl collect popul live southwest china analyz three target gene e7 l1 larg scale sequenc identifi 17 uniqu subtyp belong differ phylogenet cluster distinct geograph distribut previous report overal data suggest geograph driven genet divers weak evid antigen role vaccin develop drug respons success rate emphas need investig popul order reduc morbid global,0
Rapid mitogen-induced aminopeptidase N surface expression in human T cells is dominated by mechanisms independent of de novo protein biosynthesis,"

Rapid changes in the surface expression of enzymes such as aminopeptidase N (APN) can dramatically alter immune cell signalling and thereby impact a wide range of T-cell pathologies. In this study, the authors investigated whether or not these alterations might be regulated by mechanisms independent of de novo protein biosynthesis following mitogen stimulation of human peripheral blood mononuclear cells. Through both single-cell tracking analyses and pharmacological approaches they found that APN upregulation upon stimulation is dominated by posttranslational modifications rather than via new protein synthesis; although at longer time points de novo synthesis begins to contribute to even higher levels of surface antigen expression. Taken together, their work suggests that most rapid dynamics are posttranscriptionally regulated - providing an important insight into how certain diseases involving aberrant T-cell immunity could be effectively treated through intervening on these signal regulatory pathways.",1,"Rapid mitogen-induced aminopeptidase N surface expression in human T cells is dominated by mechanisms independent of de novo protein biosynthesis 

Rapid changes in the surface expression of enzymes such as aminopeptidase N (APN) can dramatically alter immune cell signalling and thereby impact a wide range of T-cell pathologies. In this study, the authors investigated whether or not these alterations might be regulated by mechanisms independent of de novo protein biosynthesis following mitogen stimulation of human peripheral blood mononuclear cells. Through both single-cell tracking analyses and pharmacological approaches they found that APN upregulation upon stimulation is dominated by posttranslational modifications rather than via new protein synthesis; although at longer time points de novo synthesis begins to contribute to even higher levels of surface antigen expression. Taken together, their work suggests that most rapid dynamics are posttranscriptionally regulated - providing an important insight into how certain diseases involving aberrant T-cell immunity could be effectively treated through intervening on these signal regulatory pathways.",rapid aminopeptidas n surfac express human cell domin mechan independ de novo protein biosynthesi rapid chang surfac express enzym aminopeptidas n apn dramat alter immun cell signal therebi impact wide rang patholog studi author investig whether alter might regul mechan independ de novo protein biosynthesi follow mitogen stimul human peripher blood mononuclear cell track analys pharmacolog approach found apn upregul upon stimul domin posttransl modif rather via new protein synthesi although longer time point de novo synthesi begin contribut even higher level surfac antigen express taken togeth work suggest rapid dynam posttranscript regul provid import insight certain diseas involv aberr immun could effect treat interven signal regulatori pathway,0
Targeting RIP Kinases in Chronic Inflammatory Disease,"

This study surveys the role of receptor interacting protein (RIP) kinases in chronic inflammatory diseases. RIP kinases are intracellular proteins involved primarily in inflammation and other immune system responses. Recent evidence suggests a possible role for RIP kinases as therapeutic targets in conditions that are difficult to treat due to their long-term, unregulated nature. This review aims to provide an overview of the current literature available on RIP kinases and how they may be exploited for potential treatments of three major chronic inflammatory diseases: rheumatoid arthritis, psoriasis and vasculitis. The impact of such targeting methods will also be discussed relative to emerging trends in personalized medicine enabling us with better understanding of this field which could lead to improved patient care with tailored treatments against these diseases.",1,"Targeting RIP Kinases in Chronic Inflammatory Disease 

This study surveys the role of receptor interacting protein (RIP) kinases in chronic inflammatory diseases. RIP kinases are intracellular proteins involved primarily in inflammation and other immune system responses. Recent evidence suggests a possible role for RIP kinases as therapeutic targets in conditions that are difficult to treat due to their long-term, unregulated nature. This review aims to provide an overview of the current literature available on RIP kinases and how they may be exploited for potential treatments of three major chronic inflammatory diseases: rheumatoid arthritis, psoriasis and vasculitis. The impact of such targeting methods will also be discussed relative to emerging trends in personalized medicine enabling us with better understanding of this field which could lead to improved patient care with tailored treatments against these diseases.",target rip kinas chronic inflammatori diseas studi survey role receptor interact protein rip kinas chronic inflammatori diseas rip kinas intracellular protein involv primarili inflamm immun system respons recent evid suggest possibl role rip kinas therapeut target condit difficult treat due unregul natur review aim provid overview current literatur avail rip kinas may exploit potenti treatment three major chronic inflammatori diseas rheumatoid arthriti psoriasi vascul impact target method also discuss rel emerg trend person medicin enabl us better understand field could lead improv patient care tailor treatment diseas,0
Lethal Nipah Virus Infection Induces Rapid Overexpression of CXCL10,"

The lethal Nipah virus, first identified in Malaysia in 1998 and now globalized, is a zoonotic pathogen for humans. This study focuses on the remarkable rapid over-expression of CXCL10—chemokine ligand 10—in individuals affected by the virus. Using cell culture models coupled with highly sensitive ELISA assays, we demonstrated that exposure to nipah mediated through silent transmission systems such as aerosols or respiratory secretions triggers cellular response pathways leading to increased production of CXCL10. Our results emphasize an urgent need to develop targeted therapies that target not only the Nipah virus but also this upregulated chemokine secretion pathway associated with fatal infection symptoms. We propose a prophylactic strategy combined with extensive vaccination programs which may reduce human exposure and deaths due to Nipah Virus Infection.",1,"Lethal Nipah Virus Infection Induces Rapid Overexpression of CXCL10 

The lethal Nipah virus, first identified in Malaysia in 1998 and now globalized, is a zoonotic pathogen for humans. This study focuses on the remarkable rapid over-expression of CXCL10—chemokine ligand 10—in individuals affected by the virus. Using cell culture models coupled with highly sensitive ELISA assays, we demonstrated that exposure to nipah mediated through silent transmission systems such as aerosols or respiratory secretions triggers cellular response pathways leading to increased production of CXCL10. Our results emphasize an urgent need to develop targeted therapies that target not only the Nipah virus but also this upregulated chemokine secretion pathway associated with fatal infection symptoms. We propose a prophylactic strategy combined with extensive vaccination programs which may reduce human exposure and deaths due to Nipah Virus Infection.",lethal nipah viru infect induc rapid overexpress cxcl10 lethal nipah viru first identifi malaysia 1998 global zoonot pathogen human studi focus remark rapid ligand individu affect viru use cell cultur model coupl highli sensit elisa assay demonstr exposur nipah mediat silent transmiss system aerosol respiratori secret trigger cellular respons pathway lead increas product cxcl10 result emphas urgent need develop target therapi target nipah viru also upregul chemokin secret pathway associ fatal infect symptom propos prophylact strategi combin extens vaccin program may reduc human exposur death due nipah viru infect,0
Logical design of oral glucose ingestion pattern minimizing blood glucose in humans,"

This abstract presents a new approach to controlling human blood glucose levels in diabetics by analyzing the timing and amount of ingested oral glucose. It focuses on developing an individualized reasoning mechanism based on personalized episodes associated with each patient’s metabolic system, their drug use history, dietary intake patterns and lifestyle habits. Utilizing this information allows healthcare professionals to develop a daily insulin dosage schedule along with its corresponding meal plan that logically fixes glucose ingestion times thus minimizing drastic elevation of blood sugars. Results from clinical trials demonstrate how successful logical design of orally ingested meals can help control extreme fluctuations in plasma concentrations among diabetic individuals who take insulin injections as part of treatment regimen. Logical Design Of Oral Glucose Ingestion Pattern Minimizing Blood Glucose In Humans",1,"Logical design of oral glucose ingestion pattern minimizing blood glucose in humans 

This abstract presents a new approach to controlling human blood glucose levels in diabetics by analyzing the timing and amount of ingested oral glucose. It focuses on developing an individualized reasoning mechanism based on personalized episodes associated with each patient’s metabolic system, their drug use history, dietary intake patterns and lifestyle habits. Utilizing this information allows healthcare professionals to develop a daily insulin dosage schedule along with its corresponding meal plan that logically fixes glucose ingestion times thus minimizing drastic elevation of blood sugars. Results from clinical trials demonstrate how successful logical design of orally ingested meals can help control extreme fluctuations in plasma concentrations among diabetic individuals who take insulin injections as part of treatment regimen. Logical Design Of Oral Glucose Ingestion Pattern Minimizing Blood Glucose In Humans",logic design oral glucos ingest pattern minim blood glucos human abstract present new approach control human blood glucos level diabet analyz time amount ingest oral glucos focus develop individu reason mechan base person episod associ patient metabol system drug use histori dietari intak pattern lifestyl habit util inform allow healthcar profession develop daili insulin dosag schedul along correspond meal plan logic fix glucos ingest time thu minim drastic elev blood sugar result clinic trial demonstr success logic design oral ingest meal help control extrem fluctuat plasma concentr among diabet individu take insulin inject part treatment regimen logic design oral glucos ingest pattern minim blood glucos human,0
