title,abstract,label,full_text,processed_text,prediction
Network immunization and virus propagation in email networks: experimental evaluation and analysis,"Network immunization strategies have emerged as possible solutions to the challenges of virus propagation. In this paper, an existing interactive model is introduced and then improved in order to better characterize the way a virus spreads in email networks with different topologies. The model is used to demonstrate the effects of a number of key factors, notably nodes’ degree and betweenness. Experiments are then performed to examine how the structure of a network and human dynamics affects virus propagation. The experimental results have revealed that a virus spreads in two distinct phases and shown that the most efficient immunization strategy is the node-betweenness strategy. Moreover, those results have also explained why old virus can survive in networks nowadays from the aspects of human dynamics.",0,"Network immunization and virus propagation in email networks: experimental evaluation and analysis Network immunization strategies have emerged as possible solutions to the challenges of virus propagation. In this paper, an existing interactive model is introduced and then improved in order to better characterize the way a virus spreads in email networks with different topologies. The model is used to demonstrate the effects of a number of key factors, notably nodes’ degree and betweenness. Experiments are then performed to examine how the structure of a network and human dynamics affects virus propagation. The experimental results have revealed that a virus spreads in two distinct phases and shown that the most efficient immunization strategy is the node-betweenness strategy. Moreover, those results have also explained why old virus can survive in networks nowadays from the aspects of human dynamics.",network immun viru propag email network experiment evalu analysi network immun strategi emerg possibl solut challeng viru propag paper exist interact model introduc improv order better character way viru spread email network differ topolog model use demonstr effect number key factor notabl node degre between experi perform examin structur network human dynam affect viru propag experiment result reveal viru spread two distinct phase shown effici immun strategi strategi moreov result also explain old viru surviv network nowaday aspect human dynam,1
Comparing MMPI-2-Restructured Form Scores by Service Era for Veterans Assessed Within the Veteran Affairs Healthcare System,"This study compares profiles of Minnesota Multiphasic Personality Inventory-2-Restructured Form (MMPI-2-RF) scale scores from 1492 VA test-takers who served during the Vietnam or Gulf War service eras. The sample includes all such cases collected at any VA posttraumatic stress disorder Clinical Teams across the United States between January 1, 2008 and May 31, 2015 using the MMPI-2 or MMPI-2-RF (via the VA Mental Health Assistant suite). Associations between gender and score differences were also examined. In contrast to past research using the MMPI-2, results of this study suggest that veterans are generally homogeneous in their MMPI-2-RF profiles across different periods of service. Specifically, the magnitudes of mean differences are small and not clinically significant. Thus, responses on the MMPI-2-RF do not appear influenced by service era. Implications for the clinical use of, and research with, the MMPI-2-RF are discussed within the VA healthcare system.",0,"Comparing MMPI-2-Restructured Form Scores by Service Era for Veterans Assessed Within the Veteran Affairs Healthcare System This study compares profiles of Minnesota Multiphasic Personality Inventory-2-Restructured Form (MMPI-2-RF) scale scores from 1492 VA test-takers who served during the Vietnam or Gulf War service eras. The sample includes all such cases collected at any VA posttraumatic stress disorder Clinical Teams across the United States between January 1, 2008 and May 31, 2015 using the MMPI-2 or MMPI-2-RF (via the VA Mental Health Assistant suite). Associations between gender and score differences were also examined. In contrast to past research using the MMPI-2, results of this study suggest that veterans are generally homogeneous in their MMPI-2-RF profiles across different periods of service. Specifically, the magnitudes of mean differences are small and not clinically significant. Thus, responses on the MMPI-2-RF do not appear influenced by service era. Implications for the clinical use of, and research with, the MMPI-2-RF are discussed within the VA healthcare system.",compar form score servic era veteran assess within veteran affair healthcar system studi compar profil minnesota multiphas person form scale score 1492 va serv vietnam gulf war servic era sampl includ case collect va posttraumat stress disord clinic team across unit state januari 1 2008 may 31 2015 use via va mental health assist suit associ gender score differ also examin contrast past research use result studi suggest veteran gener homogen profil across differ period servic specif magnitud mean differ small clinic signific thu respons appear influenc servic era implic clinic use research discuss within va healthcar system,1
Compatibility and Safety Implications Associated with Interfacing Medical Devices in Neonatal Respiratory Care: A Case Example Using the Inhaled Nitric Oxide Delivery System,"Over the past decade, international organizations have instituted strict regulations for the safe use of connected medical devices. The International Organization for Standardization and the Medical Device Single Audit Program instituted certifications to ensure that connected devices are compatible and operate within their proper clinical parameters. These efforts came about, in part, as a consequence of clinicians’ decisions to use nonstandard, modified, or improvised devices for purposes outside the original manufacturers’ approved parameters. Unapproved device modifications can be associated with increased risk of dosing errors, monitoring errors, tubing misconnections and serious or potentially fatal adverse events; furthermore, health care providers who implement unapproved device modifications may assume legal and financial liability should harm come to patients as a consequence of the modification. Using the inhaled nitric oxide delivery system as an example, the objective of this paper is to raise awareness of the potential dangers associated with unapproved modification and interfacing of therapeutic gas delivery systems and ventilators in the neonatal intensive care unit setting. The paper also highlights the rationale and necessity for rigorous validation processes that ensure that interfaced medical devices perform as intended in the clinical setting.",0,"Compatibility and Safety Implications Associated with Interfacing Medical Devices in Neonatal Respiratory Care: A Case Example Using the Inhaled Nitric Oxide Delivery System Over the past decade, international organizations have instituted strict regulations for the safe use of connected medical devices. The International Organization for Standardization and the Medical Device Single Audit Program instituted certifications to ensure that connected devices are compatible and operate within their proper clinical parameters. These efforts came about, in part, as a consequence of clinicians’ decisions to use nonstandard, modified, or improvised devices for purposes outside the original manufacturers’ approved parameters. Unapproved device modifications can be associated with increased risk of dosing errors, monitoring errors, tubing misconnections and serious or potentially fatal adverse events; furthermore, health care providers who implement unapproved device modifications may assume legal and financial liability should harm come to patients as a consequence of the modification. Using the inhaled nitric oxide delivery system as an example, the objective of this paper is to raise awareness of the potential dangers associated with unapproved modification and interfacing of therapeutic gas delivery systems and ventilators in the neonatal intensive care unit setting. The paper also highlights the rationale and necessity for rigorous validation processes that ensure that interfaced medical devices perform as intended in the clinical setting.",compat safeti implic associ interfac medic devic neonat respiratori care case exampl use inhal nitric oxid deliveri system past decad intern organ institut strict regul safe use connect medic devic intern organ standard medic devic singl audit program institut certif ensur connect devic compat oper within proper clinic paramet effort came part consequ clinician decis use nonstandard modifi improvis devic purpos outsid origin manufactur approv paramet unapprov devic modif associ increas risk dose error monitor error tube misconnect seriou potenti fatal advers event furthermor health care provid implement unapprov devic modif may assum legal financi liabil harm come patient consequ modif use inhal nitric oxid deliveri system exampl object paper rais awar potenti danger associ unapprov modif interfac therapeut ga deliveri system ventil neonat intens care unit set paper also highlight rational necess rigor valid process ensur interfac medic devic perform intend clinic set,1
The socio-economic distribution of exposure to Ebola: Survey evidence from Liberia and Sierra Leone,"Socio-economic factors are widely believed to have been an important driver of the transmission of Ebola Virus Disease (EVD) during the West African outbreak of 2014–16, however, studies that have investigated the relationship between socio-economic status (SES) and EVD have found inconsistent results. Using nationally representative household survey data on whether respondents knew a close friend or family member with Ebola, we explore the SES determinants of EVD exposure along individual, household, and community lines in Liberia and Sierra Leone. While we find no overall association between household wealth and EVD exposure, we find that pooled data mask important differences observed within countries with higher wealth households more likely to have been exposed to EVD in Sierra Leone and the opposite relationship in Liberia. Finally, we also generally find a positive association between education and EVD exposure both at the individual and the community levels in the full sample. There is an urgent need to better understand these relationships to examine both why the outbreak spread and to help prepare for future outbreaks.",0,"The socio-economic distribution of exposure to Ebola: Survey evidence from Liberia and Sierra Leone Socio-economic factors are widely believed to have been an important driver of the transmission of Ebola Virus Disease (EVD) during the West African outbreak of 2014–16, however, studies that have investigated the relationship between socio-economic status (SES) and EVD have found inconsistent results. Using nationally representative household survey data on whether respondents knew a close friend or family member with Ebola, we explore the SES determinants of EVD exposure along individual, household, and community lines in Liberia and Sierra Leone. While we find no overall association between household wealth and EVD exposure, we find that pooled data mask important differences observed within countries with higher wealth households more likely to have been exposed to EVD in Sierra Leone and the opposite relationship in Liberia. Finally, we also generally find a positive association between education and EVD exposure both at the individual and the community levels in the full sample. There is an urgent need to better understand these relationships to examine both why the outbreak spread and to help prepare for future outbreaks.",distribut exposur ebola survey evid liberia sierra leon factor wide believ import driver transmiss ebola viru diseas evd west african outbreak howev studi investig relationship statu se evd found inconsist result use nation repres household survey data whether respond knew close friend famili member ebola explor se determin evd exposur along individu household commun line liberia sierra leon find overal associ household wealth evd exposur find pool data mask import differ observ within countri higher wealth household like expos evd sierra leon opposit relationship liberia final also gener find posit associ educ evd exposur individu commun level full sampl urgent need better understand relationship examin outbreak spread help prepar futur outbreak,1
Stimulation of ribosomal frameshifting by RNA G-quadruplex structures,"Guanine-rich sequences can fold into four-stranded structures of stacked guanine-tetrads, so-called G-quadruplexes (G4). These unique motifs have been extensively studied on the DNA level; however, exploration of the biological roles of G4s at the RNA level is just emerging. Here we show that G4 RNA when introduced within coding regions are capable of stimulating −1 ribosomal frameshifting (−1 FS) in vitro and in cultured cells. Systematic manipulation of the loop length between each G-tract revealed that the −1 FS efficiency positively correlates with G4 stability. Addition of a G4-stabilizing ligand, PhenDC3, resulted in higher −1 FS. Further, we demonstrated that the G4s can stimulate +1 FS and stop codon readthrough as well. These results suggest a potentially novel translational gene regulation mechanism mediated by G4 RNA.",0,"Stimulation of ribosomal frameshifting by RNA G-quadruplex structures Guanine-rich sequences can fold into four-stranded structures of stacked guanine-tetrads, so-called G-quadruplexes (G4). These unique motifs have been extensively studied on the DNA level; however, exploration of the biological roles of G4s at the RNA level is just emerging. Here we show that G4 RNA when introduced within coding regions are capable of stimulating −1 ribosomal frameshifting (−1 FS) in vitro and in cultured cells. Systematic manipulation of the loop length between each G-tract revealed that the −1 FS efficiency positively correlates with G4 stability. Addition of a G4-stabilizing ligand, PhenDC3, resulted in higher −1 FS. Further, we demonstrated that the G4s can stimulate +1 FS and stop codon readthrough as well. These results suggest a potentially novel translational gene regulation mechanism mediated by G4 RNA.",stimul ribosom frameshift rna structur sequenc fold structur stack g4 uniqu motif extens studi dna level howev explor biolog role g4 rna level emerg show g4 rna introduc within code region capabl stimul ribosom frameshift fs vitro cultur cell systemat manipul loop length reveal fs effici posit correl g4 stabil addit ligand phendc3 result higher fs demonstr g4 stimul fs stop codon readthrough well result suggest potenti novel translat gene regul mechan mediat g4 rna,1
Coordination among tertiary base pairs results in an efficient frameshift-stimulating RNA pseudoknot,"Frameshifting is an essential process that regulates protein synthesis in many viruses. The ribosome may slip backward when encountering a frameshift motif on the messenger RNA, which usually contains a pseudoknot structure involving tertiary base pair interactions. Due to the lack of detailed molecular explanations, previous studies investigating which features of the pseudoknot are important to stimulate frameshifting have presented diverse conclusions. Here we constructed a bimolecular pseudoknot to dissect the interior tertiary base pairs and used single-molecule approaches to assess the structure targeted by ribosomes. We found that the first ribosome target stem was resistant to unwinding when the neighboring loop was confined along the stem; such constrained conformation was dependent on the presence of consecutive adenosines in this loop. Mutations that disrupted the distal base triples abolished all remaining tertiary base pairs. Changes in frameshifting efficiency correlated with the stem unwinding resistance. Our results demonstrate that various tertiary base pairs are coordinated inside a highly efficient frameshift-stimulating RNA pseudoknot and suggest a mechanism by which mechanical resistance of the pseudoknot may persistently act on translocating ribosomes.",0,"Coordination among tertiary base pairs results in an efficient frameshift-stimulating RNA pseudoknot Frameshifting is an essential process that regulates protein synthesis in many viruses. The ribosome may slip backward when encountering a frameshift motif on the messenger RNA, which usually contains a pseudoknot structure involving tertiary base pair interactions. Due to the lack of detailed molecular explanations, previous studies investigating which features of the pseudoknot are important to stimulate frameshifting have presented diverse conclusions. Here we constructed a bimolecular pseudoknot to dissect the interior tertiary base pairs and used single-molecule approaches to assess the structure targeted by ribosomes. We found that the first ribosome target stem was resistant to unwinding when the neighboring loop was confined along the stem; such constrained conformation was dependent on the presence of consecutive adenosines in this loop. Mutations that disrupted the distal base triples abolished all remaining tertiary base pairs. Changes in frameshifting efficiency correlated with the stem unwinding resistance. Our results demonstrate that various tertiary base pairs are coordinated inside a highly efficient frameshift-stimulating RNA pseudoknot and suggest a mechanism by which mechanical resistance of the pseudoknot may persistently act on translocating ribosomes.",coordin among tertiari base pair result effici rna pseudoknot frameshift essenti process regul protein synthesi mani virus ribosom may slip backward encount frameshift motif messeng rna usual contain pseudoknot structur involv tertiari base pair interact due lack detail molecular explan previou studi investig featur pseudoknot import stimul frameshift present divers conclus construct bimolecular pseudoknot dissect interior tertiari base pair use approach assess structur target ribosom found first ribosom target stem resist unwind neighbor loop confin along stem constrain conform depend presenc consecut adenosin loop mutat disrupt distal base tripl abolish remain tertiari base pair chang frameshift effici correl stem unwind resist result demonstr variou tertiari base pair coordin insid highli effici rna pseudoknot suggest mechan mechan resist pseudoknot may persist act transloc ribosom,1
Assessing the stability of biobank donor preferences regarding sample use: evidence supporting the value of dynamic consent,"Dynamic consent has been proposed as a strategy for addressing the limitations of traditional, broad consent for biobank participation. Although the argument for dynamic consent has been made on theoretical grounds, empirical studies evaluating the potential utility of dynamic consent are needed to enhance deliberations about the merits of dynamic consent. Few studies have assessed such considerations as whether donor preferences may change over time or if participants would use a dynamic consent mechanism to modify preferences when they change. We administered a 66-item survey to participants in a large DNA biobank. The survey sought to gauge the stability of donor preferences specified at the time of biobank enrollment, specifically the stability of donors’ preference regarding posthumous availability of biospecimens to next-of-kin. We received 1164 completed surveys for a response rate of 72%. Forty percent of respondents indicated a preference regarding sample availability on the survey (T2) that was inconsistent with the preference they had expressed when they enrolled in the biobank (T1). Most (94%) individuals with inconsistent preferences regarding sample availability had initially restricted sample availability at T1 but were comfortable with broader availability when asked at the time of the survey (T2). Our findings demonstrate that preferences regarding sample use expressed at the time of enrollment in a DNA biobank may not be reliable indicators of donor preferences over time. These findings lend empirical support to the case for a dynamic consent model in which biobank participants are approached over time to clarify their views regarding sample use.",0,"Assessing the stability of biobank donor preferences regarding sample use: evidence supporting the value of dynamic consent Dynamic consent has been proposed as a strategy for addressing the limitations of traditional, broad consent for biobank participation. Although the argument for dynamic consent has been made on theoretical grounds, empirical studies evaluating the potential utility of dynamic consent are needed to enhance deliberations about the merits of dynamic consent. Few studies have assessed such considerations as whether donor preferences may change over time or if participants would use a dynamic consent mechanism to modify preferences when they change. We administered a 66-item survey to participants in a large DNA biobank. The survey sought to gauge the stability of donor preferences specified at the time of biobank enrollment, specifically the stability of donors’ preference regarding posthumous availability of biospecimens to next-of-kin. We received 1164 completed surveys for a response rate of 72%. Forty percent of respondents indicated a preference regarding sample availability on the survey (T2) that was inconsistent with the preference they had expressed when they enrolled in the biobank (T1). Most (94%) individuals with inconsistent preferences regarding sample availability had initially restricted sample availability at T1 but were comfortable with broader availability when asked at the time of the survey (T2). Our findings demonstrate that preferences regarding sample use expressed at the time of enrollment in a DNA biobank may not be reliable indicators of donor preferences over time. These findings lend empirical support to the case for a dynamic consent model in which biobank participants are approached over time to clarify their views regarding sample use.",assess stabil biobank donor prefer regard sampl use evid support valu dynam consent dynam consent propos strategi address limit tradit broad consent biobank particip although argument dynam consent made theoret ground empir studi evalu potenti util dynam consent need enhanc deliber merit dynam consent studi assess consider whether donor prefer may chang time particip would use dynam consent mechan modifi prefer chang administ survey particip larg dna biobank survey sought gaug stabil donor prefer specifi time biobank enrol specif stabil donor prefer regard posthum avail biospecimen receiv 1164 complet survey respons rate 72 forti percent respond indic prefer regard sampl avail survey t2 inconsist prefer express enrol biobank t1 94 individu inconsist prefer regard sampl avail initi restrict sampl avail t1 comfort broader avail ask time survey t2 find demonstr prefer regard sampl use express time enrol dna biobank may reliabl indic donor prefer time find lend empir support case dynam consent model biobank particip approach time clarifi view regard sampl use,1
Strategies for having a more effective and less toxic CAR T-cell therapy for acute lymphoblastic leukemia,"In the recent years, using genetically modified T cells has been known as a rapid developing therapeutic approach due to the heartwarming results of clinical trials with patients suffering from relapsed or refractory (R/R) hematologic malignancies such as R/R Acute Lymphoblastic Leukemia (R/R ALL). One of these renowned approaches is Chimeric antigen receptors (CARs). CARs are synthetic receptors with the ability to be expressed on the surface of T lymphocytes and are specifically designed to target a tumor-associated antigen (TAA) of interest. CAR-expressing T cells have the capability of proliferating and maintaining their immunological functionality in the recipient body but like any other therapeutic approach, the safety, effectiveness, and specificity enhancement of CAR T cells still lingers in the ambiguity arena. Genetic manipulation methods, expansion protocols, infusion dosage, and conditioning regimens are all among crucial factors which can affect the efficacy of CAR T cell-based cancer therapy. In this article, we discuss the studies that have focused on various aspects that affect the efficacy and persistence of CAR T-cell therapy for ALL treatment and provide a widespread overview regarding the practical approaches capable of elevating the effectiveness and lessening the relative toxicities attributed to it.",0,"Strategies for having a more effective and less toxic CAR T-cell therapy for acute lymphoblastic leukemia In the recent years, using genetically modified T cells has been known as a rapid developing therapeutic approach due to the heartwarming results of clinical trials with patients suffering from relapsed or refractory (R/R) hematologic malignancies such as R/R Acute Lymphoblastic Leukemia (R/R ALL). One of these renowned approaches is Chimeric antigen receptors (CARs). CARs are synthetic receptors with the ability to be expressed on the surface of T lymphocytes and are specifically designed to target a tumor-associated antigen (TAA) of interest. CAR-expressing T cells have the capability of proliferating and maintaining their immunological functionality in the recipient body but like any other therapeutic approach, the safety, effectiveness, and specificity enhancement of CAR T cells still lingers in the ambiguity arena. Genetic manipulation methods, expansion protocols, infusion dosage, and conditioning regimens are all among crucial factors which can affect the efficacy of CAR T cell-based cancer therapy. In this article, we discuss the studies that have focused on various aspects that affect the efficacy and persistence of CAR T-cell therapy for ALL treatment and provide a widespread overview regarding the practical approaches capable of elevating the effectiveness and lessening the relative toxicities attributed to it.",strategi effect less toxic car therapi acut lymphoblast leukemia recent year use genet modifi cell known rapid develop therapeut approach due heartwarm result clinic trial patient suffer relaps refractori hematolog malign acut lymphoblast leukemia one renown approach chimer antigen receptor car car synthet receptor abil express surfac lymphocyt specif design target antigen taa interest cell capabl prolifer maintain immunolog function recipi bodi like therapeut approach safeti effect specif enhanc car cell still linger ambigu arena genet manipul method expans protocol infus dosag condit regimen among crucial factor affect efficaci car cancer therapi articl discuss studi focus variou aspect affect efficaci persist car therapi treatment provid widespread overview regard practic approach capabl elev effect lessen rel toxic attribut,1
A classification scheme for agent based approaches to dynamic optimization,"Several papers in the literature employ agent-based modeling approach for providing reasonable solutions to dynamic optimization problems (DOPs). However, these studies employ a variety of agent-based modeling approaches with different strategies and features for different DOPs. On the other hand, there is an absence in the literature of a formal representation of the existing agent-based solution strategies. This paper proposes a representation scheme indicating how the solution strategies with agent-based approach can be summarized in a concise manner. We present these in a tabular form called “Agent Based Dynamic Optimization Problem Solution Strategy” (ABDOPSS). ABDOPSS distinguishes different classes of agent based algorithms (via communication type, cooperation type, dynamism domain and etc.) by specifying the fundamental ingredients of each of these approaches with respect to problem domain (problems with dynamic objective functions, constraints and etc.). This paper also analyzes 18 generic studies in the literature employing agent-based modeling based on ABDOPSS.",0,"A classification scheme for agent based approaches to dynamic optimization Several papers in the literature employ agent-based modeling approach for providing reasonable solutions to dynamic optimization problems (DOPs). However, these studies employ a variety of agent-based modeling approaches with different strategies and features for different DOPs. On the other hand, there is an absence in the literature of a formal representation of the existing agent-based solution strategies. This paper proposes a representation scheme indicating how the solution strategies with agent-based approach can be summarized in a concise manner. We present these in a tabular form called “Agent Based Dynamic Optimization Problem Solution Strategy” (ABDOPSS). ABDOPSS distinguishes different classes of agent based algorithms (via communication type, cooperation type, dynamism domain and etc.) by specifying the fundamental ingredients of each of these approaches with respect to problem domain (problems with dynamic objective functions, constraints and etc.). This paper also analyzes 18 generic studies in the literature employing agent-based modeling based on ABDOPSS.",classif scheme agent base approach dynam optim sever paper literatur employ model approach provid reason solut dynam optim problem dop howev studi employ varieti model approach differ strategi featur differ dop hand absenc literatur formal represent exist solut strategi paper propos represent scheme indic solut strategi approach summar concis manner present tabular form call agent base dynam optim problem solut strategi abdopss abdopss distinguish differ class agent base algorithm via commun type cooper type dynam domain etc specifi fundament ingredi approach respect problem domain problem dynam object function constraint paper also analyz 18 gener studi literatur employ model base abdopss,1
Immunogenicity Challenges Associated with Subcutaneous Delivery of Therapeutic Proteins,"The subcutaneous route of administration has provided convenient and non-inferior delivery of therapeutic proteins compared to intravenous infusion, but there is potential for enhanced immunogenicity toward subcutaneously administered proteins in a subset of patients. Unwanted anti-drug antibody response toward proteins or monoclonal antibodies upon repeated administration is shown to impact the pharmacokinetics and efficacy of multiple biologics. Unique immunogenicity challenges of the subcutaneous route have been realized through various preclinical and clinical examples, although subcutaneous delivery has often demonstrated comparable immunogenicity to intravenous administration. Beyond route of administration as a treatment-related factor of immunogenicity, certain product-related risk factors are particularly relevant to subcutaneously administered proteins. This review attempts to provide an overview of the mechanism of immune response toward proteins administered subcutaneously (subcutaneous proteins) and comments on product-related risk factors related to protein structure and stability, dosage form, and aggregation. A two-wave mechanism of antigen presentation in the immune response toward subcutaneous proteins is described, and interaction with dynamic antigen-presenting cells possessing high antigen processing efficiency and migratory activity may drive immunogenicity. Mitigation strategies for immunogenicity are discussed, including those in general use clinically and those currently in development. Mechanistic insights along with consideration of risk factors involved inspire theoretical strategies to provide antigen-specific, long-lasting effects for maintaining the safety and efficacy of therapeutic proteins.",0,"Immunogenicity Challenges Associated with Subcutaneous Delivery of Therapeutic Proteins The subcutaneous route of administration has provided convenient and non-inferior delivery of therapeutic proteins compared to intravenous infusion, but there is potential for enhanced immunogenicity toward subcutaneously administered proteins in a subset of patients. Unwanted anti-drug antibody response toward proteins or monoclonal antibodies upon repeated administration is shown to impact the pharmacokinetics and efficacy of multiple biologics. Unique immunogenicity challenges of the subcutaneous route have been realized through various preclinical and clinical examples, although subcutaneous delivery has often demonstrated comparable immunogenicity to intravenous administration. Beyond route of administration as a treatment-related factor of immunogenicity, certain product-related risk factors are particularly relevant to subcutaneously administered proteins. This review attempts to provide an overview of the mechanism of immune response toward proteins administered subcutaneously (subcutaneous proteins) and comments on product-related risk factors related to protein structure and stability, dosage form, and aggregation. A two-wave mechanism of antigen presentation in the immune response toward subcutaneous proteins is described, and interaction with dynamic antigen-presenting cells possessing high antigen processing efficiency and migratory activity may drive immunogenicity. Mitigation strategies for immunogenicity are discussed, including those in general use clinically and those currently in development. Mechanistic insights along with consideration of risk factors involved inspire theoretical strategies to provide antigen-specific, long-lasting effects for maintaining the safety and efficacy of therapeutic proteins.",immunogen challeng associ subcutan deliveri therapeut protein subcutan rout administr provid conveni deliveri therapeut protein compar intraven infus potenti enhanc immunogen toward subcutan administ protein subset patient unwant antibodi respons toward protein monoclon antibodi upon repeat administr shown impact pharmacokinet efficaci multipl biolog uniqu immunogen challeng subcutan rout realiz variou preclin clinic exampl although subcutan deliveri often demonstr compar immunogen intraven administr beyond rout administr factor immunogen certain risk factor particularli relev subcutan administ protein review attempt provid overview mechan immun respons toward protein administ subcutan subcutan protein comment risk factor relat protein structur stabil dosag form aggreg mechan antigen present immun respons toward subcutan protein describ interact dynam cell possess high antigen process effici migratori activ may drive immunogen mitig strategi immunogen discuss includ gener use clinic current develop mechanist insight along consider risk factor involv inspir theoret strategi provid effect maintain safeti efficaci therapeut protein,1
